"dataset" "classes" "train_size" "test_size" "length" "error_euclidean" "error_dtw" "error.x" "error.y"
"50words" 50 450 455 270 0.369231 0.30989 0.37363 NA
"Adiac" 37 390 391 176 0.388747 0.396419 0.41688 0.37596
"AIBO" 2 20 601 70 0.304493 0.274542 0.30616 NA
"arrowhead" 3 36 175 475 0.502857 0.531429 0.40571 0.38286
"ARSim" 2 2000 2000 500 0.489 0.4035 NA NA
"Beef" 5 30 30 470 0.466667 0.5 0.86667 0.36667
"CBF" 3 30 900 128 0.147778 0.00333333 0.00667 0.01556
"ChlorineConcentration" 3 467 3840 166 0.35 0.351562 0.34115 0.3388
"CinC_ECG_torso" 4 40 1380 1639 0.102899 0.349275 0.3442 0.32899
"Coffee" 2 28 28 286 0.25 0.178571 0 0
"Cricket" 2 9 98 308 0.0510204 0.0102041 0.81633 0.20408
"Cricket_X" 12 390 390 300 0.425641 0.223077 0.30769 0.33846
"Cricket_Y" 12 390 390 300 0.35641 0.207692 0.31795 0.34103
"Cricket_Z" 12 390 390 300 0.379487 0.207692 0.29744 0.33333
"DiatomSizeReduction" 4 16 306 345 0.0653595 0.0326797 0.12092 0.08497
"Earthquakes" 2 322 139 512 0.302158 0.294964 0.2518 NA
"ECG200" 2 100 100 96 0.12 0.23 0.14 0.22
"ECGFiveDays" 2 23 861 136 0.203252 0.232288 0.00348 0.01045
"ElectricDevices" 7 8953 7745 96 0.455907 0.329761 0.37392 NA
"FaceAll" 14 560 1690 131 0.286391 0.192308 0.24438 0.25385
"FaceFour" 4 24 88 350 0.215909 0.170455 0.11364 0
"FacesUCR" 14 200 2050 131 0.230732 0.095122 0.1 0.09512
"fish" 7 175 175 463 0.217143 0.165714 0.01714 NA
"FISH" NA NA NA NA NA NA NA 0.02857
"FordA" 2 3601 1320 500 0.313636 0.275758 NA NA
"FordB" 2 3636 810 500 0.403704 0.340741 NA NA
"Gun_Point" 2 50 150 150 0.0866667 0.0933333 0.01333 0.01333
"HandOutlines" 2 1000 370 2709 0.137838 0.118919 NA NA
"Haptics" 5 155 308 1092 0.62987 0.623377 0.57468 0.57143
"InlineSkate" 7 100 550 1882 0.658182 0.616364 0.59273 0.62545
"ItalyPowerDemand" 2 67 1029 24 0.0447036 0.0495627 0.08941 0.06803
"Lighting2" 2 60 61 637 0.245902 0.131148 0.22951 0.22951
"Lighting7" 7 70 73 319 0.424658 0.273973 0.34247 0.30137
"MALLAT" 8 55 2345 1024 0.0857143 0.0660981 0.19915 NA
"mallet" 8 320 2080 256 0.0346154 0.0235577 0.0351 NA
"MALLET" NA NA NA NA NA NA NA 0.03317
"MedicalImages" 10 381 760 99 0.315789 0.263158 0.51579 0.50789
"MoteStrain" 2 20 1252 84 0.121406 0.165335 0.11661 0.10304
"NonInvasiveFetalECG_Thorax1" 42 1800 1965 750 0.170992 0.209669 NA NA
"NonInvasiveFetalECG_Thorax2" 42 1800 1965 750 0.120102 0.135369 NA NA
"OliveOil" 4 30 30 570 0.133333 0.133333 0.13333 0.13333
"OSULeaf" 6 200 242 427 0.483471 0.409091 0.15289 0.10331
"Passgraph" 2 69 131 364 0.374046 0.290076 0.34351 0.29771
"shield" 3 30 129 1179 0.139535 0.139535 0.12403 0.08527
"SonyAIBORobotSurface" 2 20 601 70 0.304493 0.274542 0.30616 0.401
"SonyAIBORobotSurfaceII" 2 27 953 65 0.140609 0.16894 0.12592 0.10808
"StarLightCurves" 3 1000 8236 1024 0.151166 0.208 0.1077 0.07916
"SwedishLeaf" 15 500 625 129 0.2112 0.0502513 0.2752 0.2208
"Symbols" 6 25 995 398 0.100503 0.00666667 0.08945 0.05327
"synthetic_control" 6 300 300 60 0.12 0 0.01333 0.01333
"Trace" 4 100 100 275 0.24 0 0 0.01
"TwoLeadECG" 2 23 1139 82 0.252853 0.095698 0.01141 0.01756
"Two_Patterns" 4 1000 4000 128 0.09325 0.095698 0.0035 0.00175
"uWaveGestureLibrary_X" 8 896 3582 315 0.260748 0.272473 0.323 0.26577
"uWaveGestureLibrary_Y" 8 896 3582 315 0.338358 0.365997 0.36376 0.35427
"uWaveGestureLibrary_Z" 8 896 3582 315 0.350363 0.341709 0.3565 0.32049
"wafer" 2 1000 6164 152 0.0045425 0.0201168 0.00227 0.00065
"WordsSynonyms" 25 267 638 270 0.382445 0.351097 0.43574 0.46708
"yoga" 2 300 3000 426 0.169667 0.163667 0.151 0.15633
